Driver,LapNumber,RaceName_x,Year_x,TyreLife,PitInTime,AirTemp,TrackTemp,Humidity,Position,Compound_label,LapTime_label,Sector1Time_label,Sector2Time_label,Sector3Time_label,PitInTime_label,PitOutTime_label,FreshTyre_encoded,Rainfall_encoded,NextPit
ALB,55.0,70th Anniversary,2019,27.0,NaT,26.3,44.4,32.5,12.0,0,7595,7759,3949,2654,1250,1214,1,0,
ALB,56.0,70th Anniversary,2019,28.0,NaT,26.0,42.4,31.8,12.0,0,9694,8861,5414,2603,1250,1214,1,0,
ALB,57.0,70th Anniversary,2019,29.0,NaT,25.7,42.3,32.9,12.0,0,7373,7742,3654,2646,1250,1214,1,0,
ALB,58.0,70th Anniversary,2019,30.0,NaT,25.7,42.7,33.1,12.0,0,7281,7918,3516,2478,1250,1214,1,0,
ALB,59.0,70th Anniversary,2019,31.0,NaT,26.1,42.9,32.3,12.0,0,7360,7785,3643,2593,1250,1214,1,0,
ALB,60.0,70th Anniversary,2019,32.0,NaT,26.0,42.5,32.3,12.0,0,7956,7957,4266,2625,1250,1214,1,0,
ALB,61.0,70th Anniversary,2019,33.0,NaT,25.9,41.1,33.3,11.0,0,8507,7879,4616,3020,1250,1214,1,0,
ALB,62.0,70th Anniversary,2019,34.0,NaT,25.9,40.7,33.0,11.0,0,7981,7893,4014,2967,1250,1214,1,0,
ALB,63.0,70th Anniversary,2019,35.0,NaT,25.9,40.9,32.8,11.0,0,8697,8883,4269,2582,1250,1214,1,0,
ALB,64.0,70th Anniversary,2019,36.0,NaT,26.0,42.1,32.2,10.0,0,7157,7825,3548,2380,1250,1214,1,0,
ALB,65.0,70th Anniversary,2019,37.0,NaT,26.0,42.4,32.8,10.0,0,6756,7667,3221,2245,1250,1214,1,0,
ALB,66.0,70th Anniversary,2019,38.0,NaT,26.0,42.4,32.2,10.0,0,6799,7782,3151,2266,1250,1214,1,0,
ALB,67.0,70th Anniversary,2019,39.0,NaT,25.7,42.0,32.9,10.0,0,7039,7774,3441,2346,1250,1214,1,0,
ALB,68.0,70th Anniversary,2019,40.0,NaT,25.7,42.1,33.2,10.0,0,7129,7972,3388,2356,1250,1214,1,0,
ALB,69.0,70th Anniversary,2019,41.0,NaT,25.8,42.7,33.1,10.0,0,6993,7753,3245,2439,1250,1214,1,0,
BOT,1.0,70th Anniversary,2019,4.0,NaT,25.9,43.2,36.1,4.0,2,13797,14560,6234,3316,1250,1214,0,0,4.0
BOT,2.0,70th Anniversary,2019,5.0,NaT,26.0,42.9,34.9,5.0,2,9678,8792,4988,3068,1250,1214,0,0,3.0
BOT,3.0,70th Anniversary,2019,6.0,NaT,26.0,41.8,34.5,5.0,2,9799,8672,5134,3184,1250,1214,0,0,2.0
BOT,4.0,70th Anniversary,2019,7.0,NaT,25.8,41.3,35.2,5.0,2,9677,8639,4992,3219,1250,1214,0,0,1.0
BOT,5.0,70th Anniversary,2019,8.0,0 days 00:39:59.158000,25.6,41.3,35.8,6.0,2,11386,8615,4818,5239,39,1214,0,0,41.0
BOT,6.0,70th Anniversary,2019,1.0,NaT,25.4,40.7,36.0,20.0,0,20799,14373,3578,2377,1250,27,1,0,40.0
BOT,7.0,70th Anniversary,2019,2.0,NaT,25.2,39.6,36.5,20.0,0,7152,8036,3379,2343,1250,1214,1,0,39.0
BOT,8.0,70th Anniversary,2019,3.0,NaT,25.0,39.4,37.0,20.0,0,7146,7914,3303,2492,1250,1214,1,0,38.0
BOT,9.0,70th Anniversary,2019,4.0,NaT,25.0,39.3,37.1,20.0,0,7246,7953,3357,2542,1250,1214,1,0,37.0
BOT,10.0,70th Anniversary,2019,5.0,NaT,25.0,38.9,37.1,20.0,0,9169,7991,4651,3641,1250,1214,1,0,36.0
BOT,11.0,70th Anniversary,2019,6.0,NaT,25.3,40.0,36.4,19.0,0,7755,7936,3919,2717,1250,1214,1,0,35.0
BOT,12.0,70th Anniversary,2019,7.0,NaT,25.9,42.7,34.3,19.0,0,9174,8127,4402,3756,1250,1214,1,0,34.0
BOT,13.0,70th Anniversary,2019,8.0,NaT,25.5,42.7,35.1,18.0,0,10062,8359,5377,3560,1250,1214,1,0,33.0
BOT,14.0,70th Anniversary,2019,9.0,NaT,25.1,42.9,35.4,17.0,0,9157,8152,4831,3279,1250,1214,1,0,32.0
BOT,15.0,70th Anniversary,2019,10.0,NaT,24.8,43.5,36.6,16.0,0,8093,7989,4114,2917,1250,1214,1,0,31.0
BOT,16.0,70th Anniversary,2019,11.0,NaT,25.1,43.7,36.2,16.0,0,8484,8216,4269,2991,1250,1214,1,0,30.0
BOT,17.0,70th Anniversary,2019,12.0,NaT,25.6,44.6,35.6,16.0,0,8333,8157,4241,2906,1250,1214,1,0,29.0
BOT,18.0,70th Anniversary,2019,13.0,NaT,25.8,44.6,34.6,16.0,0,9210,8401,4550,3375,1250,1214,1,0,28.0
BOT,19.0,70th Anniversary,2019,14.0,NaT,25.5,44.7,35.0,15.0,0,9036,8258,4841,3017,1250,1214,1,0,27.0
BOT,20.0,70th Anniversary,2019,15.0,NaT,25.2,44.8,35.1,14.0,0,9518,8548,4740,3383,1250,1214,1,0,26.0
BOT,21.0,70th Anniversary,2019,16.0,NaT,25.3,44.9,34.8,14.0,0,9081,8535,4502,3132,1250,1214,1,0,25.0
BOT,22.0,70th Anniversary,2019,17.0,NaT,25.3,45.1,35.3,13.0,0,8846,8331,4412,3149,1250,1214,1,0,24.0
BOT,23.0,70th Anniversary,2019,18.0,NaT,25.7,45.8,34.7,13.0,0,8651,8268,4244,3162,1250,1214,1,0,23.0
BOT,24.0,70th Anniversary,2019,19.0,NaT,25.7,45.8,33.8,13.0,0,8415,7990,4365,3051,1250,1214,1,0,22.0
BOT,25.0,70th Anniversary,2019,20.0,NaT,25.8,45.8,34.0,13.0,0,8685,8166,4454,3091,1250,1214,1,0,21.0
BOT,26.0,70th Anniversary,2019,21.0,NaT,25.7,45.7,33.8,13.0,0,8793,8275,4619,2934,1250,1214,1,0,20.0
BOT,27.0,70th Anniversary,2019,22.0,NaT,25.5,45.6,34.0,13.0,0,8082,8079,4061,2864,1250,1214,1,0,19.0
BOT,28.0,70th Anniversary,2019,23.0,NaT,25.0,45.9,35.2,13.0,0,8280,7930,4461,2859,1250,1214,1,0,18.0
BOT,29.0,70th Anniversary,2019,24.0,NaT,25.0,46.0,35.2,12.0,0,9654,8776,5014,3030,1250,1214,1,0,17.0
BOT,30.0,70th Anniversary,2019,25.0,NaT,25.4,46.1,35.2,12.0,0,8605,8062,4587,2975,1250,1214,1,0,16.0
BOT,31.0,70th Anniversary,2019,26.0,NaT,25.6,44.8,35.0,12.0,0,8603,8142,4750,2725,1250,1214,1,0,15.0
BOT,32.0,70th Anniversary,2019,27.0,NaT,25.9,44.7,33.8,11.0,0,8318,8031,4438,2822,1250,1214,1,0,14.0
BOT,33.0,70th Anniversary,2019,28.0,NaT,26.1,45.0,32.9,11.0,0,8424,8092,4170,3154,1250,1214,1,0,13.0
BOT,34.0,70th Anniversary,2019,29.0,NaT,26.1,45.6,32.6,10.0,0,7554,8065,3662,2580,1250,1214,1,0,12.0
BOT,35.0,70th Anniversary,2019,30.0,NaT,25.8,45.6,32.5,10.0,0,7662,7934,3815,2687,1250,1214,1,0,11.0
BOT,36.0,70th Anniversary,2019,31.0,NaT,25.6,45.4,33.0,9.0,0,7732,7876,4004,2660,1250,1214,1,0,10.0
BOT,37.0,70th Anniversary,2019,32.0,NaT,25.5,45.4,33.6,9.0,0,7409,7793,3541,2752,1250,1214,1,0,9.0
BOT,38.0,70th Anniversary,2019,33.0,NaT,24.8,45.0,34.7,9.0,0,7484,7851,3587,2758,1250,1214,1,0,8.0
BOT,39.0,70th Anniversary,2019,34.0,NaT,24.8,45.2,34.7,9.0,0,7463,7961,3606,2601,1250,1214,1,0,7.0
BOT,40.0,70th Anniversary,2019,35.0,NaT,24.8,44.3,34.6,9.0,0,7545,7826,3814,2653,1250,1214,1,0,6.0
BOT,41.0,70th Anniversary,2019,36.0,NaT,25.1,42.7,33.9,9.0,0,7295,7736,3504,2687,1250,1214,1,0,5.0
BOT,42.0,70th Anniversary,2019,37.0,NaT,25.1,42.0,34.7,9.0,0,7449,7866,3707,2578,1250,1214,1,0,4.0
BOT,43.0,70th Anniversary,2019,38.0,NaT,25.8,43.4,31.0,9.0,0,9846,7801,4176,4917,1250,1214,1,0,3.0
BOT,44.0,70th Anniversary,2019,39.0,NaT,26.2,43.9,30.1,9.0,0,8110,8253,4163,2628,1250,1214,1,0,2.0
BOT,45.0,70th Anniversary,2019,40.0,NaT,26.3,44.3,29.8,9.0,0,7583,7953,3835,2559,1250,1214,1,0,1.0
BOT,46.0,70th Anniversary,2019,41.0,0 days 01:37:12.281000,25.9,44.0,31.0,9.0,0,8985,7816,3543,4573,819,1214,1,0,
